사고유형,사고위치(지번),사고장소,119출동,위험요인,선정연도,정제우편번호,정제WGS84위도,정제WGS84경도
생활안전(뱀),경기도 과천시 중앙동 80-1,과천향교 인근,3회(사고위험),등산로 출입구 부근 잦은 뱀 출몰,2022년,,37.4332828798,126.9881879237
교통사고,경기도 고양시 덕양구 신평동 37-3,대덕생태공원길~평화누리자전거길,72회(사고빈발),자전거도로 이용자간 충돌 및 낙상의 위험,2022년,,37.6287084470,126.7780116326
교통사고,경기도 고양시 일산서구 법곳동 742-7,잘월평천 자전거길 일대,1회(사고위험),자전거도로 이용자간 충돌 및 낙상의 위험,2022년,10220,37.6702597593,126.7191419705
교통사고,경기도 고양시 일산동구 백석동 908-14,도촌천 자전거길 일대,2회(사고위험),자전거도로 이용자간 충돌 및 낙상의 위험,2022년,,37.6443045031,126.8000557945
교통사고,경기도 고양시 일산동구 식사동 959-7,견달산천 자전거길 일대,0회(사고위험),자전거도로 이용자간 충돌 및 낙상의 위험,2022년,,37.6753144486,126.8161187786
생활안전(고드름),경기도 의정부시 용현동 66-6,용현동 지하차도,13회(사고빈발),겨울철 고드름 상습발생지역으로 고드름 낙하 위험,2022년,11801,37.7304547946,127.0871628097
수난사고,경기도 남양주시 다산1동 4053-18,도농 지하차도,3회(사고위험),집중호우 시 침수우려 위험,2022년,12259,37.6067432336,127.1580158748
붕괴위험,경기도 파주시 적성면 설마리 47-2,감악산 법륜사에서 숲속쉼터 방향 500m 지점,0회(사고위험),계곡물로 인한 지반이탈로 다리 붕괴위험,2022년,10805,37.9383727954,126.9519129957
교통사고,경기도 구리시 인창동 98-4,동창교 인도상,5회(사고빈발),인도 보행자 대상 교통사고 위험,2022년,,37.6152865159,127.1402397643
산악사고,경기도 포천시 일동변 기산리 산 1-1,청계산 3코스 등산로,7회(사고빈발),하산로 오인으로 조난사고 위험,2022년,,,
수난사고,경기도 양주시 백석읍 기산리 산 88-2,기산저수지,5회(사고빈발),수면으로 접근이 쉽고 경고시설 부족으로 수난사고 위험,2022년,11518,37.7790807996,126.9536169139
교통사고,경기도 동두천시 생연동 580-71,강변도로,5회(사고빈발),급커브 구간으로 교통사고 위험,2022년,11326,37.9116664701,127.0542150701
교통사고,경기도 가평군 설악면 천안리 산 58-3,천안리 산58-3 ~ 508-2 구간,3회(사고위험),급커브 구간 및 과속으로 인한 교통사고 위험,2022년,12469,37.6460990739,127.4727074889
수난사고,경기도 연천군 전곡읍 신답리 17-38,궁신교 인근 한탄강변,4회(사고빈발),와류 발생지역으로 낚시 및 물놀이 사고 위험,2022년,11025,38.0374741293,127.1049942075
교통사고,경기도 연천군 전곡읍 은대리 628-42,움터삼거리 교차로,3회(사고위험),점멸신호로 추돌사고 및 인명사고 발생 위험,2022년,,38.0292368626,127.0574213117
붕괴위험,경기도 수원시 장안구 조원동 136-6,파란꿈아트팜어린이집 뒷편,0회(사고위험),우천시 지반약화 등으로 인한 붕괴위험,2021년,16293,37.3080583558,127.0093443689
생활안전(뱀),경기도 수원시 장안구 송죽동 305-2,만석공원 배드민턴장 옆 산책로,10회(사고빈발),산책로에 뱀이 빈번하게 출몰 생활안전사고 발생 위험,2021년,16302,37.2999244754,127.0037657685
생활안전(뱀),경기도 수원시 영통구 하동 1026-1,광교호수공원 산책로,11회(사고빈발),산책로에 뱀이 빈번하게 출몰 생활안전사고 발생 위험,2021년,16514,37.2814133049,127.0695865282
수난사고,경기도 수원시 장안구 연무동 190,방화수류정,0회(사고위험),방화수류정 내 연못 경사면 실족으로 수난사고 위험,2021년,,37.2878550901,127.0183205045
교통사고,경기도 성남시 중원구 하대원동 산 33-5,여수터널(이천방향) 진출로,18회(사고빈발),"터널 진출 후 내리막 도로, 과속차량으로 교통사고 위험",2021년,,,
생활안전(멧돼지),경기도 성남시 수정구 양지동 900,남한산성 인근 등산로,14회(사고빈발),등산로에 멧돼지가 빈번하게 출몰 생활안전사고 발생 위험,2021년,,37.4676505902,127.1747199285
수난사고,경기도 성남시 분당구 동원동 326-2,낙생저수지,2회(사고위험),해빙기 및 집중호우 시 수난사고 위험,2021년,,37.3503572758,127.0783151200
교통사고,경기도 성남시 분당구 동원동 280,농로 구간,1회(사고위험),"비포장 상태로 2.3m 안팎의 협소한 농로, 차량전복 위험",2021년,13547,,
생활안전(멧돼지),경기도 성남시 분당구 야탑동 121-3,예비군훈련장 인근 등산로,8회(사고빈발),등산로에 멧돼지가 빈번하게 출몰 생활안전사고 발생 위험,2021년,13510,37.4018782770,127.1575910140
교통사고,경기도 부천시 원종동 426,베리내사거리 굴다리,8회(사고빈발),대형차량 통행시 교각 하부와 충돌위험 (굴다리 통과높이 3.3미터),2021년,,37.5188622081,126.8021462856
산악사고,경기도 안양시 동안구 석수동 산11-1,관악산 왕관바위,15회(사고빈발),사진 촬영을 위해 오르는 중 실족(추락) 사고 위험,2021년,13911,37.4434539879,126.9248270072
교통사고,경기도 안산시 단원구 고잔동 678,덕성초교사거리,32회(사고빈발),내리막길 과속 차량이 많은 도로로 교통사고 위험,2021년,,37.3283381042,126.8389493955
수난사고,경기도 용인시 처인구 백암면 근창리 995,청미천 일대,2회(사고위험),집중호우 시 범람되어 저지대 침수 등 수난사고 위험,2021년,17177,37.1687299204,127.3694457806
생활안전(뱀),경기도 용인시 기흥구 중동 843,동백호수공원,33회(사고빈발),산책로에 뱀이 빈번하게 출몰 생활안전사고 발생 위험,2021년,17006,37.2766962085,127.1508625936
수난사고,경기도 평택시 현덕면 권관리 566-3,평택호 자전거 도로,34회(사고빈발),호수위에 설치된 경관형 자전거 도로로 추락 등 수난사고 위험,2021년,17948,36.9129845577,126.9082824094
교통사고,경기도 평택시 도일동 784-3,317번 국도,10회(사고빈발),급커브 지역 및 야간 과속 차량으로 교통사고 위험,2021년,,37.0515606032,127.0969547298
수난사고,경기도 광명시 노온사동 446-2,노온사저수지(아방리낚시터),1회(사고위험),"다수인이 낚시터 이용, 실족 등 수난사고 위험",2021년,,37.4410172538,126.8551620451
생활안전(뱀),경기도 광명시 소하동 1303,한내근린공원 입구,12회(사고빈발),산책로에 뱀이 빈번하게 출몰 생활안전사고 발생 위험,2021년,14315,37.4506437698,126.8859977685
