학교ID,학교명,소재지도로명주소,위도,경도
B000009430,반송중학교,경기도 화성시 탄요1길 13,37.1900637509,127.0716153358
B000009431,석우중학교,경기도 화성시 동탄중앙로 264,37.2083129265,127.0704303066
B000009432,기산중학교,경기도 화성시 동탄지성로 286,37.2191712664,127.0524247962
B000009433,기안중학교,경기도 화성시 효행로291번길 29,37.2243353415,126.9753271415
B000009434,능동중학교,경기도 화성시 동탄원천로 289-17,37.2122370921,127.0614256380
B000009435,푸른중학교,경기도 화성시 동탄공원로 21-24,37.2023396668,127.0565809755
B000009436,동학중학교,경기도 화성시 영통로27번길 60,37.2329206385,127.0580253086
B000009437,병점중학교,경기도 화성시 병점3로 71,37.2103532413,127.0400573410
B000009438,안화중학교,경기도 화성시 병점2로 125,37.2110193884,127.0492046204
B000009439,진안중학교,경기도 화성시 병점동로 138,37.2165191480,127.0378220812
B000009440,예당중학교,경기도 화성시 노작로 226-35,37.2080109240,127.0792110890
B000009441,안용중학교,경기도 화성시 효행로 833,37.2066127259,127.0196936252
B000009442,화성동화중학교,경기도 화성시 봉담읍 동화역말길 12,37.2138657736,126.9623033403
B000009443,봉담중학교,경기도 화성시 봉담읍 샘마을길 53,37.2165380909,126.9533691061
B000009444,와우중학교,경기도 화성시 봉담읍 동화역말길 55-40,37.2191377421,126.9660192554
B000009445,향남중학교,경기도 화성시 향남읍 행정동로 50,37.1287376856,126.9277929930
B000009446,발안중학교,경기도 화성시 향남읍 발안로 73,37.1328939562,126.9186873908
B000009447,삼괴중학교,경기도 화성시 우정읍 장안로 35,37.0898265507,126.8222939606
B000009448,화성중학교,경기도 화성시 향남읍 장짐길 4,37.1390350465,126.9064577889
B000009449,두레자연중학교,경기도 화성시 우정읍 두레길 42,37.0593844208,126.7957507783
B000009450,양감중학교,경기도 화성시 양감면 초록로 49,37.0811842740,126.9517997829
B000009451,정남중학교,경기도 화성시 정남면 신리길 76,37.1651278448,126.9786538812
B000009452,장안여자중학교,경기도 화성시 장안면 기아자동차로 814,37.0776321183,126.8163049016
B000009453,비봉중학교,경기도 화성시 비봉면 양노로109번길 5,37.2383493423,126.8728272701
B000009454,화도중학교,경기도 화성시 마도면 석교로 162,37.2049183500,126.7751982707
B000009455,송산중학교,경기도 화성시 송산면 송산포도로 162,37.2158180793,126.7311835418
B000009456,서신중학교,경기도 화성시 서신면 바다뜰길 49-9,37.1695635954,126.7005982397
B000009459,운암중학교,경기도 오산시 대원로 76,37.1458866892,127.0769318199
B000009460,대호중학교,경기도 오산시 궐리사로29번길 19,37.1621473587,127.0569735430
B000009461,세마중학교,경기도 오산시 수목원로 559-9,37.1810751248,127.0422627381
B000009462,문시중학교,경기도 오산시 여계산로 52-24,37.1744325279,127.0471578846
B000009463,매홀중학교,경기도 오산시 내삼미로48번길 17,37.1679693933,127.0689016230
B000009464,성호중학교,경기도 오산시 동부대로436번길 34,37.1396121605,127.0818196140
B000009465,오산원일중학교,경기도 오산시 오산로132번길 29,37.1397865908,127.0725970914
B000009466,오산중학교,경기도 오산시 청학로 43,37.1543079675,127.0626050821
B000011519,발안바이오과학고등학교,경기도 화성시 향남읍 발안로 71,37.1329307317,126.9169983423
B000011520,두레자연고등학교,경기도 화성시 우정읍 두레길 42,37.0593844208,126.7957507783
B000011521,삼괴고등학교,경기도 화성시 우정읍 장안로 35,37.0898265507,126.8222939606
B000011522,오산정보고등학교,경기도 오산시 청학로5번길 20,37.1538925444,127.0599609935
B000011861,동탄국제고등학교,경기도 화성시 동탄나루로 27,37.1883641399,127.0777653134
B000012587,향일고등학교,경기도 화성시 향남읍 행정중앙2로 28,37.1293027216,126.9179493229
B000012588,남양고등학교,경기도 화성시 남양읍 시청로45번길 23,37.2079798507,126.8234137957
B000012589,동탄고등학교,경기도 화성시 동탄공원로1길 26-7,37.2040393694,127.0603574394
B000012590,나루고등학교,경기도 화성시 금반2길 13,37.1865674202,127.0719280134
B000012591,반송고등학교,경기도 화성시 동탄반석로 21,37.1927808676,127.0777181854
B000012592,예당고등학교,경기도 화성시 삼성1로 47,37.2083028865,127.0802012026
B000012593,능동고등학교,경기도 화성시 동탄원천로 315-26,37.2138991213,127.0575051414
B000012594,병점고등학교,경기도 화성시 병점중앙로 72,37.2053304561,127.0442123712
B000012595,안화고등학교,경기도 화성시 병점3로 132-19,37.2119089242,127.0484554928
B000012597,봉담고등학교,경기도 화성시 봉담읍 상봉길 42,37.2178655985,126.9539005391
B000012598,향남고등학교,경기도 화성시 향남읍 행정동로 49,37.1288834109,126.9262383122
B000012599,화성고등학교,경기도 화성시 향남읍 장짐길 4,37.1390350465,126.9064577889
B000012600,비봉고등학교,경기도 화성시 비봉면 양노로109번길 5,37.2383493423,126.8728272701
B000012601,송산고등학교,경기도 화성시 송산면 송산포도로 102-21,37.2164676270,126.7382437017
B000012602,세교고등학교,경기도 오산시 수청로 112,37.1779715857,127.0533664126
B000012605,성호고등학교,경기도 오산시 동부대로436번길 46,37.1391867150,127.0813152804
