학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000004763,태봉초등학교,초등학교,2006-06-07,공립,본교,운영,경기도 포천시 소흘읍 송우리 725-4,경기도 포천시 소흘읍 송선로 8,7530000,경기도교육청,7711000,경기도포천교육지원청,2013-11-29,2025-07-01,37.8343824102,127.1450235111,2025-09-22
B000004739,광숭초등학교,초등학교,2006-03-01,공립,본교,운영,경기도 양주시 삼숭동 186-6,경기도 양주시 삼숭로58번길 100,7530000,경기도교육청,7602000,경기도동두천양주교육지원청,2013-11-29,2025-07-01,37.8015814802,127.1074223395,2025-09-22
B000012748,영북고등학교,고등학교,1969-05-06,공립,본교,운영,경기도 포천시 영북면 운천리 334-3,경기도 포천시 영북면 영북로 136,7530000,경기도교육청,7711000,경기도포천교육지원청,2013-11-29,2025-07-01,38.0860668544,127.2762692226,2025-09-22
B000012436,숙지고등학교,고등학교,1997-05-04,공립,본교,운영,경기도 수원시 팔달구 화서동 653,경기도 수원시 팔달구 수성로182번길 100,7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2025-07-01,37.2829952305,126.9932966083,2025-09-22
B000022583,안산대월초등학교,초등학교,2009-10-04,공립,본교,운영,경기도 안산시 단원구 신길동 1551,경기도 안산시 단원구 신길로 67,7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,2025-07-01,37.3361366672,126.7877452871,2025-09-22
B000012458,운중고등학교,고등학교,2010-03-01,공립,본교,운영,경기도 성남시 분당구 운중동 957,경기도 성남시 분당구 운중로 95,7530000,경기도교육청,7551000,경기도성남교육지원청,2013-11-29,2025-07-01,37.3927492517,127.0737069029,2025-09-22
B000011538,고양고등학교,고등학교,1938-01-10,공립,본교,운영,경기도 고양시 덕양구 삼송동 45-2,경기도 고양시 덕양구 삼송로 171,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.6542325738,126.8908742067,2025-09-22
B000012621,신장고등학교,고등학교,2005-03-01,공립,본교,운영,경기도 하남시 신장동 369,경기도 하남시 신장동로 19,7530000,경기도교육청,7692000,경기도광주하남교육지원청,2013-11-29,2025-07-01,37.5438344716,127.2098659789,2025-09-22
B000003955,보라초등학교,초등학교,1983-03-01,공립,본교,운영,경기도 용인시 기흥구 상갈동 51-1,경기도 용인시 기흥구 금화로105번길 33,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2025-07-01,37.2639671285,127.1072754271,2025-09-22
B000004548,성라초등학교,초등학교,1991-10-02,공립,본교,운영,경기도 고양시 덕양구 성사동 732,경기도 고양시 덕양구 호국로716번길 13-19,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.6527885436,126.8338296650,2025-09-22
B000004766,축석초등학교,초등학교,1970-03-02,공립,본교,운영,경기도 포천시 소흘읍 이동교리 645,경기도 포천시 소흘읍 무란1길 25,7530000,경기도교육청,7711000,경기도포천교육지원청,2013-11-29,2025-07-01,37.7884161312,127.1220860662,2025-09-22
B000012667,중산고등학교,고등학교,1996-01-13,공립,본교,운영,경기도 고양시 일산동구 중산동 1554,경기도 고양시 일산동구 중산로 290,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.6969503543,126.7826061098,2025-09-22
B000009716,청심국제중학교,중학교,2006-03-01,사립,본교,운영,경기도 가평군 설악면 송산리 산 102,경기도 가평군 설악면 미사리로 324-213,7530000,경기도교육청,7721000,경기도가평교육지원청,2013-11-29,2025-07-01,37.6865880192,127.5406716161,2025-09-22
B000030721,과천율목중학교,중학교,2024-06-07,공립,본교,운영,경기도 과천시 갈현동 245-1,경기도 과천시 과천대로2길 37,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-07-01,37.4075742499,126.9826960584,2025-09-22
B000003891,고잔초등학교,초등학교,1963-07-01,공립,본교,운영,경기도 안산시 단원구 고잔동 581,경기도 안산시 단원구 적금로 182,7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,2025-07-01,37.3250922820,126.8273540196,2025-09-22
B000004007,고림초등학교,초등학교,2001-05-06,공립,본교,운영,경기도 용인시 처인구 고림동 340-2,경기도 용인시 처인구 한터로152번길 22,7530000,경기도교육청,7751000,경기도용인교육지원청,2013-11-29,2025-07-01,37.2473487554,127.2271644550,2025-09-22
B000009697,대경중학교,중학교,2005-03-01,공립,본교,운영,경기도 포천시 소흘읍 송우리 729-13,경기도 포천시 소흘읍 봉솔로 23,7530000,경기도교육청,7711000,경기도포천교육지원청,2013-11-29,2025-07-01,37.8266866785,127.1395719909,2025-09-22
B000004703,탄현초등학교,초등학교,1934-05-01,공립,본교,운영,경기도 파주시 탄현면 축현리 489-1,경기도 파주시 탄현면 방촌로653번길 4,7530000,경기도교육청,7681000,경기도파주교육지원청,2013-11-29,2025-07-01,37.8032774785,126.7174098892,2025-09-22
B000009418,태광중학교,중학교,1962-01-06,사립,본교,운영,경기도 평택시 신장동 263-6,경기도 평택시 탄현1로 155,7530000,경기도교육청,7631000,경기도평택교육지원청,2013-11-29,2025-07-01,37.0738044432,127.0535055861,2025-09-22
B000009167,영동중학교,중학교,2005-03-01,공립,본교,운영,경기도 수원시 영통구 신동 330-1,경기도 수원시 영통구 영통로 225,7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2025-07-01,37.2479929951,127.0558738563,2025-09-22
B000004485,성석초등학교,초등학교,1945-10-31,공립,본교,운영,경기도 고양시 일산동구 문봉동 203-6,경기도 고양시 일산동구 문봉길 110,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.7073756506,126.8123649276,2025-09-22
B000012601,송산고등학교,고등학교,1961-04-08,사립,본교,운영,경기도 화성시 송산면 사강리 625,경기도 화성시 송산면 송산포도로 102-21,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2025-07-01,37.2164676270,126.7382437017,2025-09-22
B000004687,와석초등학교,초등학교,2006-03-01,공립,본교,운영,경기도 파주시 야당동 1008,경기도 파주시 한빛로 7,7530000,경기도교육청,7681000,경기도파주교육지원청,2013-11-29,2025-07-01,37.7104577265,126.7530351903,2025-09-22
B000011539,남양주고등학교,고등학교,1997-03-01,공립,본교,운영,경기도 남양주시 화도읍 월산리 99-4,경기도 남양주시 화도읍 경춘로2192번길 25,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2025-07-01,37.6524622907,127.3344633868,2025-09-22
B000009654,효자중학교,중학교,2002-03-01,공립,본교,운영,경기도 의정부시 신곡동 768-2,경기도 의정부시 부용로185번길 15,7530000,경기도교육청,7561000,경기도의정부교육지원청,2013-11-29,2025-07-01,37.7521842291,127.0773176707,2025-09-22
B000004537,행신초등학교,초등학교,1988-03-01,공립,본교,운영,경기도 고양시 덕양구 행신동 983-1,경기도 고양시 덕양구 중앙로 527,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.6219419640,126.8364846928,2025-09-22
B000012599,화성고등학교,고등학교,1979-03-05,사립,본교,운영,경기도 화성시 향남읍 장짐리 161,경기도 화성시 향남읍 장짐길 4,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2025-07-01,37.1390350465,126.9064577889,2025-09-22
B000004175,능동초등학교,초등학교,2008-03-01,공립,본교,운영,경기도 화성시 능동 1085,경기도 화성시 동탄원천로 315-27,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2025-07-01,37.2133455179,127.0589171812,2025-09-22
B000004249,문시초등학교,초등학교,2010-06-07,공립,본교,운영,경기도 오산시 금암동 518,경기도 오산시 여계산로 52-6,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2025-07-01,37.1741562470,127.0456275445,2025-09-22
B000004500,황룡초등학교,초등학교,1995-03-01,공립,본교,운영,경기도 고양시 일산서구 탄현동 1474,경기도 고양시 일산서구 탄현로 75,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.6984470012,126.7680154894,2025-09-22
B000004621,구리초등학교,초등학교,1981-03-01,공립,본교,운영,경기도 구리시 수택동 553,경기도 구리시 경춘로276번길 51,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2025-07-01,37.6011802389,127.1475845605,2025-09-22
B000004503,오마초등학교,초등학교,1994-02-28,공립,본교,운영,경기도 고양시 일산서구 주엽동 33,경기도 고양시 일산서구 주엽로 214,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.6770545591,126.7630092833,2025-09-22
B000004643,오동초등학교,초등학교,2001-03-01,공립,본교,운영,경기도 의정부시 민락동 735-6,경기도 의정부시 용민로 151,7530000,경기도교육청,7561000,경기도의정부교육지원청,2013-11-29,2025-07-01,37.7423901921,127.0910390163,2025-09-22
B000004557,남양주덕송초등학교,초등학교,2010-03-01,공립,본교,운영,경기도 남양주시 별내동 813,경기도 남양주시 별내3로 356,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2025-07-01,37.6692860493,127.1159669077,2025-09-22
B000004495,율동초등학교,초등학교,1994-11-01,공립,본교,운영,경기도 고양시 일산동구 정발산동 1117,경기도 고양시 일산동구 산두로 223,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.6754671166,126.7788667453,2025-09-22
B000024675,이솔고등학교,고등학교,2022-03-01,공립,본교,운영,경기도 화성시 동탄면 산척동 731,경기도 화성시 동탄대로 7길 10,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2025-07-01,37.1667454749,127.1111693854,2025-09-22
B000009628,광동중학교,중학교,1946-04-08,사립,본교,운영,경기도 남양주시 진접읍 장현리 603-5,경기도 남양주시 진접읍 장현로광동1길 10,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2025-07-01,37.7167569038,127.1751653307,2025-09-22
B000004722,동두천초등학교,초등학교,1923-09-01,공립,본교,운영,경기도 동두천시 생연동 469-2,경기도 동두천시 평화로2460번길 4,7530000,경기도교육청,7602000,경기도동두천양주교육지원청,2013-11-29,2025-07-01,37.9083985054,127.0598967490,2025-09-22
B000004744,은봉초등학교,초등학교,1999-09-01,공립,본교,운영,경기도 양주시 백석읍 복지리 303-8,경기도 양주시 백석읍 꿈나무로 321,7530000,경기도교육청,7602000,경기도동두천양주교육지원청,2013-11-29,2025-07-01,37.7813543831,126.9832249965,2025-09-22
